B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
3,1.00E+05,1000,0.01,4,kmeans++,hdf5,46.695,5.739,52.499,10,1
4,1.00E+05,1000,0.01,4,kmeans++,hdf5,56.154,4.493,60.81,10,1
5,1.00E+05,1000,0.01,4,kmeans++,hdf5,35,4.351,40.578,10,1
6,1.00E+05,1000,0.01,4,kmeans++,hdf5,41.067,5.547,47.744,10,1
7,1.00E+05,1000,0.01,4,kmeans++,hdf5,33.886,3.635,38.265,10,1
8,1.00E+05,1000,0.01,4,kmeans++,hdf5,39.009,3.749,43.728,10,1
9,1.00E+05,1000,0.01,4,kmeans++,hdf5,44.382,6.076,50.62,10,1
10,1.00E+05,1000,0.01,4,kmeans++,hdf5,41.954,4.331,46.579,10,1
1,1.00E+05,1000,0.01,5,kmeans++,hdf5,53.317,4.906,58.244,10,1
2,1.00E+05,1000,0.01,5,kmeans++,hdf5,40.44,5.72,46.188,10,1
3,1.00E+05,1000,0.01,5,kmeans++,hdf5,36.212,4.421,40.649,10,1
4,1.00E+05,1000,0.01,5,kmeans++,hdf5,47.191,5.998,53.212,10,1
5,1.00E+05,1000,0.01,5,kmeans++,hdf5,51.336,6.158,57.59,10,1
6,1.00E+05,1000,0.01,5,kmeans++,hdf5,38.953,3.834,42.811,10,1
7,1.00E+05,1000,0.01,5,kmeans++,hdf5,36.038,4.038,40.091,10,1
8,1.00E+05,1000,0.01,5,kmeans++,hdf5,43.032,5.404,48.454,10,1
9,1.00E+05,1000,0.01,5,kmeans++,hdf5,37.923,3.948,41.887,10,1
10,1.00E+05,1000,0.01,5,kmeans++,hdf5,34.869,4.3,39.185,10,1
1,1.00E+05,1000,0.01,6,kmeans++,hdf5,57.943,7.159,65.399,10,1
2,1.00E+05,1000,0.01,6,kmeans++,hdf5,46.578,5.606,53.789,10,1
3,1.00E+05,1000,0.01,6,kmeans++,hdf5,56.803,7.323,64.41,10,1
4,1.00E+05,1000,0.01,6,kmeans++,hdf5,40.52,4.052,46.115,10,1
5,1.00E+05,1000,0.01,6,kmeans++,hdf5,56.075,4.047,60.144,10,1
