B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
3,1.00E+05,1000,0.01,8,kmeans++,mbkmeans,26.909,1.128,38.349,1,1
4,1.00E+05,1000,0.01,8,kmeans++,mbkmeans,26.798,1.11,38.095,1,1
5,1.00E+05,1000,0.01,8,kmeans++,mbkmeans,26.69,1.101,39.444,1,1
6,1.00E+05,1000,0.01,8,kmeans++,mbkmeans,26.884,1.098,39.23,1,1
7,1.00E+05,1000,0.01,8,kmeans++,mbkmeans,26.172,1.113,27.787,1,1
8,1.00E+05,1000,0.01,8,kmeans++,mbkmeans,26.883,1.064,32.135,1,1
9,1.00E+05,1000,0.01,8,kmeans++,mbkmeans,26.684,1.069,37.655,1,1
10,1.00E+05,1000,0.01,8,kmeans++,mbkmeans,26.972,1.186,36.923,1,1
1,1.00E+05,1000,0.01,9,kmeans++,mbkmeans,28.255,1.155,39.373,1,1
2,1.00E+05,1000,0.01,9,kmeans++,mbkmeans,27.705,0.982,34.534,1,1
3,1.00E+05,1000,0.01,9,kmeans++,mbkmeans,28.097,1,36.587,1,1
4,1.00E+05,1000,0.01,9,kmeans++,mbkmeans,27.734,1.017,35.252,1,1
5,1.00E+05,1000,0.01,9,kmeans++,mbkmeans,27.445,1.011,35.498,1,1
6,1.00E+05,1000,0.01,9,kmeans++,mbkmeans,28.669,1.091,37.749,1,1
7,1.00E+05,1000,0.01,9,kmeans++,mbkmeans,28.245,1.108,38.496,1,1
8,1.00E+05,1000,0.01,9,kmeans++,mbkmeans,27.436,1.04,41.688,1,1
9,1.00E+05,1000,0.01,9,kmeans++,mbkmeans,28.454,1.044,38.747,1,1
10,1.00E+05,1000,0.01,9,kmeans++,mbkmeans,27.076,1.062,41.593,1,1
1,1.00E+05,1000,0.01,10,kmeans++,mbkmeans,27.073,1.042,31.268,1,1
2,1.00E+05,1000,0.01,10,kmeans++,mbkmeans,27.13,1.07,32.75,1,1
3,1.00E+05,1000,0.01,10,kmeans++,mbkmeans,28.32,0.938,35.2,1,1
4,1.00E+05,1000,0.01,10,kmeans++,mbkmeans,27.86,1.101,42.803,1,1
5,1.00E+05,1000,0.01,10,kmeans++,mbkmeans,26.2,1.111,30.661,1,1
6,1.00E+05,1000,0.01,10,kmeans++,mbkmeans,28.626,1.116,36.04,1,1
7,1.00E+05,1000,0.01,10,kmeans++,mbkmeans,27.399,0.874,35.273,1,1
8,1.00E+05,1000,0.01,10,kmeans++,mbkmeans,28.532,1.131,36.713,1,1
9,1.00E+05,1000,0.01,10,kmeans++,mbkmeans,28.025,1.106,38.504,1,1
10,1.00E+05,1000,0.01,10,kmeans++,mbkmeans,27.287,0.924,32.055,1,1
1,1.00E+05,1000,0.01,11,kmeans++,mbkmeans,28.627,1.186,36.734,1,1
2,1.00E+05,1000,0.01,11,kmeans++,mbkmeans,27.458,1.031,28.777,1,1
3,1.00E+05,1000,0.01,11,kmeans++,mbkmeans,28.712,1.06,44.878,1,1
4,1.00E+05,1000,0.01,11,kmeans++,mbkmeans,26.846,1,28.697,1,1
5,1.00E+05,1000,0.01,11,kmeans++,mbkmeans,28.696,1.122,36.827,1,1
6,1.00E+05,1000,0.01,11,kmeans++,mbkmeans,28.509,1.089,33.376,1,1
7,1.00E+05,1000,0.01,11,kmeans++,mbkmeans,28.007,1.043,36.137,1,1
8,1.00E+05,1000,0.01,11,kmeans++,mbkmeans,27.813,1.066,29.466,1,1
9,1.00E+05,1000,0.01,11,kmeans++,mbkmeans,28.75,1.196,37.203,1,1
10,1.00E+05,1000,0.01,11,kmeans++,mbkmeans,27.806,1.134,36.854,1,1
1,1.00E+05,1000,0.01,12,kmeans++,mbkmeans,27.962,0.872,35.79,1,1
2,1.00E+05,1000,0.01,12,kmeans++,mbkmeans,28.032,0.859,36.177,1,1
3,1.00E+05,1000,0.01,12,kmeans++,mbkmeans,27.601,0.999,28.692,1,1
