B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
1,1.00E+05,1000,0.1,6,random,kmeans,164.842,5.623,170.5,10,1
2,1.00E+05,1000,0.1,6,random,kmeans,158.847,5.545,164.426,10,1
3,1.00E+05,1000,0.1,6,random,kmeans,137.558,5.668,143.262,10,1
4,1.00E+05,1000,0.1,6,random,kmeans,147.006,5.942,152.982,10,1
5,1.00E+05,1000,0.1,6,random,kmeans,158.001,5.146,163.186,10,1
6,1.00E+05,1000,0.1,6,random,kmeans,156.061,5.519,161.615,10,1
7,1.00E+05,1000,0.1,6,random,kmeans,139.466,5.738,145.237,10,1
8,1.00E+05,1000,0.1,6,random,kmeans,136.823,6.407,143.271,10,1
9,1.00E+05,1000,0.1,6,random,kmeans,137.163,6.66,143.859,10,1
10,1.00E+05,1000,0.1,6,random,kmeans,137.899,5.699,143.627,10,1
1,1.00E+05,1000,0.1,7,random,kmeans,164.176,5.278,169.502,10,1
2,1.00E+05,1000,0.1,7,random,kmeans,146.586,5.051,151.729,10,1
3,1.00E+05,1000,0.1,7,random,kmeans,152.7,4.903,157.652,10,1
4,1.00E+05,1000,0.1,7,random,kmeans,168.269,5.483,173.787,10,1
5,1.00E+05,1000,0.1,7,random,kmeans,126.459,4.885,131.372,10,1
6,1.00E+05,1000,0.1,7,random,kmeans,145.038,5.336,150.414,10,1
7,1.00E+05,1000,0.1,7,random,kmeans,150.574,4.861,155.498,10,1
8,1.00E+05,1000,0.1,7,random,kmeans,141.978,5.605,147.62,10,1
9,1.00E+05,1000,0.1,7,random,kmeans,144.689,5.335,150.125,10,1
10,1.00E+05,1000,0.1,7,random,kmeans,145.667,5.036,150.742,10,1
1,1.00E+05,1000,0.1,8,random,kmeans,158.133,6.123,164.316,10,1
2,1.00E+05,1000,0.1,8,random,kmeans,134.949,5.136,140.118,10,1
3,1.00E+05,1000,0.1,8,random,kmeans,146.424,5.16,151.648,10,1
4,1.00E+05,1000,0.1,8,random,kmeans,158.912,4.972,163.925,10,1
5,1.00E+05,1000,0.1,8,random,kmeans,129.4,5.426,134.856,10,1
6,1.00E+05,1000,0.1,8,random,kmeans,166.701,5.168,172.408,10,1
7,1.00E+05,1000,0.1,8,random,kmeans,149.447,5.281,154.841,10,1
8,1.00E+05,1000,0.1,8,random,kmeans,150.282,5.789,156.108,10,1
9,1.00E+05,1000,0.1,8,random,kmeans,157.961,5.337,163.382,10,1
10,1.00E+05,1000,0.1,8,random,kmeans,159.243,5.123,164.414,10,1
1,1.00E+05,1000,0.1,9,random,kmeans,185.496,4.975,190.544,10,1
2,1.00E+05,1000,0.1,9,random,kmeans,161.765,5.218,167.025,10,1
3,1.00E+05,1000,0.1,9,random,kmeans,158.717,5.157,163.908,10,1
4,1.00E+05,1000,0.1,9,random,kmeans,161.671,4.953,166.661,10,1
5,1.00E+05,1000,0.1,9,random,kmeans,166.385,5.263,171.685,10,1
6,1.00E+05,1000,0.1,9,random,kmeans,163.729,5.519,169.285,10,1
7,1.00E+05,1000,0.1,9,random,kmeans,159.624,4.878,164.544,10,1
8,1.00E+05,1000,0.1,9,random,kmeans,157.019,5.527,162.581,10,1
9,1.00E+05,1000,0.1,9,random,kmeans,157.764,4.857,162.668,10,1
10,1.00E+05,1000,0.1,9,random,kmeans,147.934,5.013,152.982,10,1
1,1.00E+05,1000,0.1,10,random,kmeans,148.761,5.293,154.089,10,1
2,1.00E+05,1000,0.1,10,random,kmeans,171.678,5.799,177.602,10,1
3,1.00E+05,1000,0.1,10,random,kmeans,173.342,6.171,179.557,10,1
4,1.00E+05,1000,0.1,10,random,kmeans,161.583,6.416,168.046,10,1
5,1.00E+05,1000,0.1,10,random,kmeans,165.433,5.808,171.306,10,1
6,1.00E+05,1000,0.1,10,random,kmeans,148.43,5,153.472,10,1
7,1.00E+05,1000,0.1,10,random,kmeans,157.51,5.088,162.675,10,1
8,1.00E+05,1000,0.1,10,random,kmeans,136.388,4.837,141.333,10,1
9,1.00E+05,1000,0.1,10,random,kmeans,154.442,5.456,159.934,10,1
10,1.00E+05,1000,0.1,10,random,kmeans,158.909,5.17,164.113,10,1
1,1.00E+05,1000,0.1,11,random,kmeans,182.831,4.656,187.533,10,1
2,1.00E+05,1000,0.1,11,random,kmeans,198.207,5.628,203.883,10,1
3,1.00E+05,1000,0.1,11,random,kmeans,177.939,7.064,185.045,10,1
4,1.00E+05,1000,0.1,11,random,kmeans,176.681,4.768,181.508,10,1
5,1.00E+05,1000,0.1,11,random,kmeans,174.543,5.138,179.732,10,1
6,1.00E+05,1000,0.1,11,random,kmeans,152.125,5.225,157.406,10,1
7,1.00E+05,1000,0.1,11,random,kmeans,180.479,5.777,186.332,10,1
8,1.00E+05,1000,0.1,11,random,kmeans,159.777,6.181,165.992,10,1
9,1.00E+05,1000,0.1,11,random,kmeans,170.236,4.875,175.148,10,1
10,1.00E+05,1000,0.1,11,random,kmeans,152.966,5.57,158.604,10,1
1,1.00E+05,1000,0.1,12,random,kmeans,172.165,5.3,177.506,10,1
2,1.00E+05,1000,0.1,12,random,kmeans,172.526,5.612,178.182,10,1
3,1.00E+05,1000,0.1,12,random,kmeans,162.763,5.968,168.766,10,1
4,1.00E+05,1000,0.1,12,random,kmeans,198.171,5.279,203.525,10,1
5,1.00E+05,1000,0.1,12,random,kmeans,186.669,6.085,192.797,10,1
6,1.00E+05,1000,0.1,12,random,kmeans,185.974,5.465,191.484,10,1
7,1.00E+05,1000,0.1,12,random,kmeans,185.773,5.567,191.38,10,1
8,1.00E+05,1000,0.1,12,random,kmeans,158.388,5.276,163.706,10,1
9,1.00E+05,1000,0.1,12,random,kmeans,158.939,5.58,164.56,10,1
10,1.00E+05,1000,0.1,12,random,kmeans,184.816,5.538,190.399,10,1
1,1.00E+05,1000,0.1,13,random,kmeans,161.305,4.577,165.922,10,1
2,1.00E+05,1000,0.1,13,random,kmeans,147.697,4.447,152.173,10,1
3,1.00E+05,1000,0.1,13,random,kmeans,152.543,4.637,157.211,10,1
4,1.00E+05,1000,0.1,13,random,kmeans,169.76,5.011,174.816,10,1
5,1.00E+05,1000,0.1,13,random,kmeans,160.034,4.946,165.09,10,1
6,1.00E+05,1000,0.1,13,random,kmeans,174.142,5.216,179.394,10,1
7,1.00E+05,1000,0.1,13,random,kmeans,152.231,4.709,156.971,10,1
8,1.00E+05,1000,0.1,13,random,kmeans,155.524,5.086,160.646,10,1
9,1.00E+05,1000,0.1,13,random,kmeans,178.519,5.947,184.508,10,1
10,1.00E+05,1000,0.1,13,random,kmeans,163.088,4.81,167.932,10,1
1,1.00E+05,1000,0.1,14,random,kmeans,174.785,4.645,179.466,10,1
2,1.00E+05,1000,0.1,14,random,kmeans,193.964,5.709,199.715,10,1
3,1.00E+05,1000,0.1,14,random,kmeans,180.066,5.371,185.471,10,1
4,1.00E+05,1000,0.1,14,random,kmeans,163.42,4.838,168.29,10,1
5,1.00E+05,1000,0.1,14,random,kmeans,165.864,4.583,170.479,10,1
6,1.00E+05,1000,0.1,14,random,kmeans,173.982,5.242,179.257,10,1
7,1.00E+05,1000,0.1,14,random,kmeans,159.249,5.006,164.287,10,1
8,1.00E+05,1000,0.1,14,random,kmeans,162.007,5.692,167.731,10,1
9,1.00E+05,1000,0.1,14,random,kmeans,180.712,6.713,187.465,10,1
10,1.00E+05,1000,0.1,14,random,kmeans,181.584,5.259,186.881,10,1
1,1.00E+05,1000,0.1,15,random,kmeans,190.891,5.248,196.189,10,1
2,1.00E+05,1000,0.1,15,random,kmeans,170.967,5.079,176.081,10,1
3,1.00E+05,1000,0.1,15,random,kmeans,183.745,5.495,189.288,10,1
4,1.00E+05,1000,0.1,15,random,kmeans,185.777,5.398,191.248,10,1
5,1.00E+05,1000,0.1,15,random,kmeans,187.574,5.881,193.499,10,1
6,1.00E+05,1000,0.1,15,random,kmeans,191.357,5.742,197.148,10,1
7,1.00E+05,1000,0.1,15,random,kmeans,197.338,4.831,202.208,10,1
8,1.00E+05,1000,0.1,15,random,kmeans,173.198,5.001,178.234,10,1
9,1.00E+05,1000,0.1,15,random,kmeans,188.861,6.047,194.95,10,1
10,1.00E+05,1000,0.1,15,random,kmeans,171.846,5.259,177.138,10,1
1,1.00E+05,1000,0.1,16,random,kmeans,189.621,5.894,195.555,10,1
2,1.00E+05,1000,0.1,16,random,kmeans,169.194,4.808,174.032,10,1
3,1.00E+05,1000,0.1,16,random,kmeans,179.133,4.505,183.675,10,1
4,1.00E+05,1000,0.1,16,random,kmeans,174.425,4.83,179.288,10,1
5,1.00E+05,1000,0.1,16,random,kmeans,189.748,4.64,194.425,10,1
6,1.00E+05,1000,0.1,16,random,kmeans,188.338,5.655,194.031,10,1
