"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
17,5000,1000,0.005,3,random,mbkmeans,0.980697136148219,11108745.044009
18,5000,1000,0.005,3,random,mbkmeans,0.985845641756749,11241073.9271219
19,5000,1000,0.005,3,random,mbkmeans,0.9964413563598,12459557.4825851
20,5000,1000,0.005,3,random,mbkmeans,0.989163146427935,10507169.4149454
1,5000,1000,0.01,3,random,mbkmeans,0.989246214381854,10789357.0508643
2,5000,1000,0.01,3,random,mbkmeans,0.988297918774694,10869921.0986723
3,5000,1000,0.01,3,random,mbkmeans,0.990643055540868,11211389.1452918
4,5000,1000,0.01,3,random,mbkmeans,0.985242006855936,10640822.206979
5,5000,1000,0.01,3,random,mbkmeans,0.990670157583633,11048484.4249018
6,5000,1000,0.01,3,random,mbkmeans,0.98747432130244,10631314.4379614
7,5000,1000,0.01,3,random,mbkmeans,0.993332155855248,10826015.3053531
8,5000,1000,0.01,3,random,mbkmeans,0.990585616650048,10511153.9582484
9,5000,1000,0.01,3,random,mbkmeans,0.986243382436234,10266383.5596619
10,5000,1000,0.01,3,random,mbkmeans,0.991691711864311,10784220.0794525
11,5000,1000,0.01,3,random,mbkmeans,0.989568822056944,10494736.6188989
12,5000,1000,0.01,3,random,mbkmeans,0.987245614562767,10934860.5303538
13,5000,1000,0.01,3,random,mbkmeans,0.991579631830145,10408353.3602689
14,5000,1000,0.01,3,random,mbkmeans,0.983999252415678,11038638.5243773
15,5000,1000,0.01,3,random,mbkmeans,0.989142807007603,10903373.7675007
16,5000,1000,0.01,3,random,mbkmeans,0.995326964774926,10630975.2474191
17,5000,1000,0.01,3,random,mbkmeans,0.992358198908899,10663764.604768
18,5000,1000,0.01,3,random,mbkmeans,0.988571884358262,10050093.4682251
19,5000,1000,0.01,3,random,mbkmeans,0.990042989503694,10826450.9873591
20,5000,1000,0.01,3,random,mbkmeans,0.981490095044694,11010326.4979474
1,5000,1000,0.05,3,random,mbkmeans,0.987738151599866,10269154.8034535
2,5000,1000,0.05,3,random,mbkmeans,0.989452476060784,9774136.90431485
3,5000,1000,0.05,3,random,mbkmeans,0.988819642398885,9934024.92673212
4,5000,1000,0.05,3,random,mbkmeans,0.991777154417335,10031186.5323257
5,5000,1000,0.05,3,random,mbkmeans,0.990479095269905,10154354.1935678
6,5000,1000,0.05,3,random,mbkmeans,0.988986254180272,9760149.77630049
7,5000,1000,0.05,3,random,mbkmeans,0.991989895793048,9955253.2371846
8,5000,1000,0.05,3,random,mbkmeans,0.993047886041205,10035479.8919944
9,5000,1000,0.05,3,random,mbkmeans,0.988256732713028,9987950.08348871
10,5000,1000,0.05,3,random,mbkmeans,0.991022747904969,10121886.7843206
11,5000,1000,0.05,3,random,mbkmeans,0.989090122102922,9820623.96464716
12,5000,1000,0.05,3,random,mbkmeans,0.987375483041032,10052960.793699
13,5000,1000,0.05,3,random,mbkmeans,0.990133708109758,9854530.0633848
14,5000,1000,0.05,3,random,mbkmeans,0.988099968364086,10163327.4592569
15,5000,1000,0.05,3,random,mbkmeans,0.990331510960363,10076535.0125161
16,5000,1000,0.05,3,random,mbkmeans,0.991335134226181,10002741.1313492
17,5000,1000,0.05,3,random,mbkmeans,0.989901905462971,10432953.3390994
18,5000,1000,0.05,3,random,mbkmeans,0.99273194146992,10022629.6963258
19,5000,1000,0.05,3,random,mbkmeans,0.988311262968846,9883896.25744182
20,5000,1000,0.05,3,random,mbkmeans,0.983909580275829,10070570.9625479
1,5000,1000,0.1,3,random,mbkmeans,0.98898997011965,10437377.9062494
2,5000,1000,0.1,3,random,mbkmeans,0.990031924795626,10087408.775675
3,5000,1000,0.1,3,random,mbkmeans,0.991501698790321,10147767.4640348
4,5000,1000,0.1,3,random,mbkmeans,0.992429713817563,9715984.68111077
5,5000,1000,0.1,3,random,mbkmeans,0.991418965119811,9834625.8569713
6,5000,1000,0.1,3,random,mbkmeans,0.98652307154001,9970956.61949277
7,5000,1000,0.1,3,random,mbkmeans,0.989150213503632,10026701.1038434
8,5000,1000,0.1,3,random,mbkmeans,0.9873830190956,10213816.5917158
9,5000,1000,0.1,3,random,mbkmeans,0.989238362759052,9813333.28346149
10,5000,1000,0.1,3,random,mbkmeans,0.988462166565077,10016899.1994611
11,5000,1000,0.1,3,random,mbkmeans,0.987056108920064,9921958.42989608
12,5000,1000,0.1,3,random,mbkmeans,0.986746233448132,10271785.870619
13,5000,1000,0.1,3,random,mbkmeans,0.991543404485519,10041141.1241841
14,5000,1000,0.1,3,random,mbkmeans,0.988237985616721,10042141.6075811
15,5000,1000,0.1,3,random,mbkmeans,0.989055748921086,9830013.02099883
16,5000,1000,0.1,3,random,mbkmeans,0.987381614504087,10224300.0413334
17,5000,1000,0.1,3,random,mbkmeans,0.990336853926196,9948100.07670704
18,5000,1000,0.1,3,random,mbkmeans,0.988634695382469,9912243.82274235
19,5000,1000,0.1,3,random,mbkmeans,0.99111834928769,9731075.65702153
20,5000,1000,0.1,3,random,mbkmeans,0.989563945735748,10267655.1365713
1,5000,1000,0.2,3,random,mbkmeans,0.989065956095859,10258706.7323985
2,5000,1000,0.2,3,random,mbkmeans,0.987234533044537,9996643.58528786
3,5000,1000,0.2,3,random,mbkmeans,0.99110914100404,9944495.66240165
4,5000,1000,0.2,3,random,mbkmeans,0.990104064637299,10185005.1627349
5,5000,1000,0.2,3,random,mbkmeans,0.990993175485152,9798786.487032
6,5000,1000,0.2,3,random,mbkmeans,0.988390874193939,10053600.5085139
7,5000,1000,0.2,3,random,mbkmeans,0.98770677150263,9957690.06744194
8,5000,1000,0.2,3,random,mbkmeans,0.989745216676728,10033258.9261395
9,5000,1000,0.2,3,random,mbkmeans,0.990931045274108,9747417.47660096
10,5000,1000,0.2,3,random,mbkmeans,0.991271422715618,10114129.7698236
11,5000,1000,0.2,3,random,mbkmeans,0.992221261112529,10205928.6000821
12,5000,1000,0.2,3,random,mbkmeans,0.987296167551258,10197947.9474405
13,5000,1000,0.2,3,random,mbkmeans,0.988729117565921,10145162.3218742
14,5000,1000,0.2,3,random,mbkmeans,0.992012906969636,9784642.75315439
15,5000,1000,0.2,3,random,mbkmeans,0.991515402362755,9870760.0291113
16,5000,1000,0.2,3,random,mbkmeans,0.991690665519644,9926600.31779572
17,5000,1000,0.2,3,random,mbkmeans,0.99381592889595,10117668.5871342
18,5000,1000,0.2,3,random,mbkmeans,0.98955882723296,9717581.75934944
19,5000,1000,0.2,3,random,mbkmeans,0.988863436738483,10070213.728673
20,5000,1000,0.2,3,random,mbkmeans,0.991861150137655,10387266.4195323
1,5000,1000,0.5,3,random,mbkmeans,0.98694225295263,9958800.75605856
2,5000,1000,0.5,3,random,mbkmeans,0.990259184190104,9730866.9406637
3,5000,1000,0.5,3,random,mbkmeans,0.992139838948045,10204570.4900953
4,5000,1000,0.5,3,random,mbkmeans,0.988821333007915,10311964.9822487
5,5000,1000,0.5,3,random,mbkmeans,0.992433882439611,9663121.47978271
6,5000,1000,0.5,3,random,mbkmeans,0.993362057869085,9881958.36615131
7,5000,1000,0.5,3,random,mbkmeans,0.990908382387306,10067530.0851028
8,5000,1000,0.5,3,random,mbkmeans,0.992361954186337,9754418.41501452
9,5000,1000,0.5,3,random,mbkmeans,0.987924787334925,9785250.2425601
10,5000,1000,0.5,3,random,mbkmeans,0.98997683663651,10061413.0839512
11,5000,1000,0.5,3,random,mbkmeans,0.99131701560836,10539081.3872475
12,5000,1000,0.5,3,random,mbkmeans,0.991523972680706,10076549.138115
13,5000,1000,0.5,3,random,mbkmeans,0.990499005534215,9923078.79389369
14,5000,1000,0.5,3,random,mbkmeans,0.986475590889346,9759068.88356023
15,5000,1000,0.5,3,random,mbkmeans,0.989006535456686,10282685.0847588
16,5000,1000,0.5,3,random,mbkmeans,0.992959625222022,9871395.32114261
17,5000,1000,0.5,3,random,mbkmeans,0.991763980735798,10279915.5774992
18,5000,1000,0.5,3,random,mbkmeans,0.986594932146169,9575978.45006288
19,5000,1000,0.5,3,random,mbkmeans,0.987161823898073,10000304.9257898
20,5000,1000,0.5,3,random,mbkmeans,0.992546459308358,10257037.4732739
1,5000,1000,0.8,3,random,mbkmeans,0.988826986727666,9970703.89154468
2,5000,1000,0.8,3,random,mbkmeans,0.988468419666948,10061044.850706
3,5000,1000,0.8,3,random,mbkmeans,0.988017237844676,10256614.9740302
4,5000,1000,0.8,3,random,mbkmeans,0.990926834267063,9984718.33177969
5,5000,1000,0.8,3,random,mbkmeans,0.991617957908481,9921192.0348435
6,5000,1000,0.8,3,random,mbkmeans,0.992537110845969,10124540.5693934
7,5000,1000,0.8,3,random,mbkmeans,0.98933044822747,10002991.9460569
8,5000,1000,0.8,3,random,mbkmeans,0.989092996276427,10021606.4664729
9,5000,1000,0.8,3,random,mbkmeans,0.990351405779611,9791521.9226925
10,5000,1000,0.8,3,random,mbkmeans,0.986023039217387,10152195.8279161
11,5000,1000,0.8,3,random,mbkmeans,0.991027923573433,10219617.6131861
12,5000,1000,0.8,3,random,mbkmeans,0.989749578152187,9894501.84367998
13,5000,1000,0.8,3,random,mbkmeans,0.991416979931875,9910868.08864355
14,5000,1000,0.8,3,random,mbkmeans,0.992441173081894,10329194.8239082
15,5000,1000,0.8,3,random,mbkmeans,0.987016136052776,9978761.3570984
16,5000,1000,0.8,3,random,mbkmeans,0.990013397999529,9966707.84060914
17,5000,1000,0.8,3,random,mbkmeans,0.986192038819126,10259386.7106136
18,5000,1000,0.8,3,random,mbkmeans,0.987306792577653,9803724.99441963
19,5000,1000,0.8,3,random,mbkmeans,0.990434248552093,10223212.3914629
20,5000,1000,0.8,3,random,mbkmeans,0.986815695870847,9910859.06021971
1,5000,1000,1,3,random,mbkmeans,0.991108753716196,9860357.74298285
2,5000,1000,1,3,random,mbkmeans,0.990160194570037,10168583.3366865
3,5000,1000,1,3,random,mbkmeans,0.989528159927788,10058665.6414899
4,5000,1000,1,3,random,mbkmeans,0.990836022368199,9970516.86789744
5,5000,1000,1,3,random,mbkmeans,0.987221609491326,10314978.1685871
6,5000,1000,1,3,random,mbkmeans,0.988405864946418,9894285.55454139
7,5000,1000,1,3,random,mbkmeans,0.990424869748632,10142552.4103759
8,5000,1000,1,3,random,mbkmeans,0.986027768437068,9984880.50870282
9,5000,1000,1,3,random,mbkmeans,0.985284738591775,10032218.6863631
10,5000,1000,1,3,random,mbkmeans,0.987401000919425,10231275.3386334
11,5000,1000,1,3,random,mbkmeans,0.990566735561336,10081415.2652436
12,5000,1000,1,3,random,mbkmeans,0.987223240228057,10149983.3344274
13,5000,1000,1,3,random,mbkmeans,0.990065414994696,10142071.4400359
14,5000,1000,1,3,random,mbkmeans,0.991700268200313,9656391.22220657
15,5000,1000,1,3,random,mbkmeans,0.992770761819495,10067538.499114
16,5000,1000,1,3,random,mbkmeans,0.990063296568926,10152704.7613785
17,5000,1000,1,3,random,mbkmeans,0.988168408488107,10326495.462959
18,5000,1000,1,3,random,mbkmeans,0.99159044268906,10056895.7329279
19,5000,1000,1,3,random,mbkmeans,0.99000397550474,9963578.90479548
20,5000,1000,1,3,random,mbkmeans,0.988206299898475,9898986.68789582
1,25000,1000,0.005,3,random,mbkmeans,0.986695625330737,52887199.3887703
2,25000,1000,0.005,3,random,mbkmeans,0.990019290237652,50361755.1139453
3,25000,1000,0.005,3,random,mbkmeans,0.98856706243494,52357414.9453114
4,25000,1000,0.005,3,random,mbkmeans,0.991387406466715,51864011.5039132
5,25000,1000,0.005,3,random,mbkmeans,0.989337459533783,49294312.8089205
6,25000,1000,0.005,3,random,mbkmeans,0.991674637348191,51315521.8334845
7,25000,1000,0.005,3,random,mbkmeans,0.991266936170439,50519990.1229504
8,25000,1000,0.005,3,random,mbkmeans,0.985867895022225,52262886.4182133
9,25000,1000,0.005,3,random,mbkmeans,0.989635751693635,50453243.4970773
10,25000,1000,0.005,3,random,mbkmeans,0.987385412138138,52276011.0844567
11,25000,1000,0.005,3,random,mbkmeans,0.987373193991424,53358568.9577213
12,25000,1000,0.005,3,random,mbkmeans,0.989851450715727,51177523.1746004
13,25000,1000,0.005,3,random,mbkmeans,0.988609140167602,51926610.4095434
