"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
4,2000,1000,0.5,3,random,kmeans,0.990099395234743,3888333.63664926
5,2000,1000,0.5,3,random,kmeans,0.991778747536023,3879646.70949748
6,2000,1000,0.5,3,random,kmeans,0.980743319958999,3807603.2168197
7,2000,1000,0.5,3,random,kmeans,0.995117018745408,4087819.85776812
8,2000,1000,0.5,3,random,kmeans,0.984856876760235,4040265.93519829
9,2000,1000,0.5,3,random,kmeans,0.990606351209246,4024021.78747107
10,2000,1000,0.5,3,random,kmeans,0.990119568125519,4173664.22562657
11,2000,1000,0.5,3,random,kmeans,0.993860772113005,4036230.50543761
12,2000,1000,0.5,3,random,kmeans,0.985041970918874,3951017.79543306
13,2000,1000,0.5,3,random,kmeans,0.993635767655677,4013333.80855079
14,2000,1000,0.5,3,random,kmeans,0.996818349807541,3749007.29845281
15,2000,1000,0.5,3,random,kmeans,0.982864643848868,4053091.21582892
16,2000,1000,0.5,3,random,kmeans,0.988781934539667,4040889.85963441
17,2000,1000,0.5,3,random,kmeans,0.994930706482147,3974783.41767667
18,2000,1000,0.5,3,random,kmeans,0.982248325192857,3895102.19680888
19,2000,1000,0.5,3,random,kmeans,0.990043236034,3998804.35947367
20,2000,1000,0.5,3,random,kmeans,0.992587472816476,3987296.42552277
1,4000,1000,0.005,3,random,kmeans,0.989420552561957,7900840.2753062
2,4000,1000,0.005,3,random,kmeans,0.991030396824144,8162602.25136285
3,4000,1000,0.005,3,random,kmeans,0.989845430077227,7914266.3374846
4,4000,1000,0.005,3,random,kmeans,0.990034912084366,8086927.31413461
5,4000,1000,0.005,3,random,kmeans,0.99142286667283,7911328.32778337
6,4000,1000,0.005,3,random,kmeans,0.991090020767536,7813059.59740954
7,4000,1000,0.005,3,random,kmeans,0.992291485022186,8003459.66749227
8,4000,1000,0.005,3,random,kmeans,0.992049489824884,7710108.57735302
9,4000,1000,0.005,3,random,kmeans,0.990346091168878,8046079.44559287
10,4000,1000,0.005,3,random,kmeans,0.995868105816239,7608548.99217836
11,4000,1000,0.005,3,random,kmeans,0.992578256268405,7697222.82000629
12,4000,1000,0.005,3,random,kmeans,0.987775161751197,7954963.20785332
13,4000,1000,0.005,3,random,kmeans,0.992481970105821,7753657.51882927
14,4000,1000,0.005,3,random,kmeans,0.990353349119545,7998992.89721031
15,4000,1000,0.005,3,random,kmeans,0.990457059776541,7914697.59630312
16,4000,1000,0.005,3,random,kmeans,0.988688212638766,7978277.73647683
