"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
18,2000,1000,0.5,3,random,hdf5,0.98965192629419,4057877.97990578
19,2000,1000,0.5,3,random,hdf5,0.994968630815324,3932910.91571097
20,2000,1000,0.5,3,random,hdf5,0.9912442358821,3928330.48511486
1,4000,1000,0.005,3,random,hdf5,0.995871553290177,9486081.7526381
2,4000,1000,0.005,3,random,hdf5,0.988780362641743,9633584.44696295
3,4000,1000,0.005,3,random,hdf5,0.990675297811146,8709442.06481435
4,4000,1000,0.005,3,random,hdf5,0.991947268395398,9345456.9956303
5,4000,1000,0.005,3,random,hdf5,0.992058581000097,8614590.36679391
6,4000,1000,0.005,3,random,hdf5,0.972234331759104,11052109.987966
7,4000,1000,0.005,3,random,hdf5,0.982384540279924,11192851.3952622
8,4000,1000,0.005,3,random,hdf5,0.995126918096937,9641726.64072423
9,4000,1000,0.005,3,random,hdf5,0.975076385866149,9365693.87637332
10,4000,1000,0.005,3,random,hdf5,0.991090233885702,8815155.63336761
11,4000,1000,0.005,3,random,hdf5,0.985420143490154,8979617.03190414
12,4000,1000,0.005,3,random,hdf5,0.988385767444744,9461029.82154589
13,4000,1000,0.005,3,random,hdf5,0.988019477228586,8891815.05168085
14,4000,1000,0.005,3,random,hdf5,0.987467684931089,10255236.3155645
15,4000,1000,0.005,3,random,hdf5,0.991843217784959,9412424.22728743
16,4000,1000,0.005,3,random,hdf5,0.99053132363565,9018589.50533136
17,4000,1000,0.005,3,random,hdf5,0.975737079738072,9905095.49176332
18,4000,1000,0.005,3,random,hdf5,0.973967416113737,10385737.2954897
19,4000,1000,0.005,3,random,hdf5,0.994280352616611,10212702.94364
20,4000,1000,0.005,3,random,hdf5,0.980555417712012,10981551.560315
1,4000,1000,0.01,3,random,hdf5,0.980115567811433,8675860.44068781
2,4000,1000,0.01,3,random,hdf5,0.992500833724111,8380327.28710327
3,4000,1000,0.01,3,random,hdf5,0.983673847150408,8441775.34473974
4,4000,1000,0.01,3,random,hdf5,0.98931040059372,8400164.21157646
5,4000,1000,0.01,3,random,hdf5,0.99411647714357,8982142.98949566
6,4000,1000,0.01,3,random,hdf5,0.985854392401128,8576909.73132388
7,4000,1000,0.01,3,random,hdf5,0.989080862788928,8995096.6633233
8,4000,1000,0.01,3,random,hdf5,0.978889647379537,8945133.52089434
9,4000,1000,0.01,3,random,hdf5,0.978320322858029,8564801.00026995
10,4000,1000,0.01,3,random,hdf5,0.987913462841951,8628912.64279551
11,4000,1000,0.01,3,random,hdf5,0.990668808742486,8539497.45392269
12,4000,1000,0.01,3,random,hdf5,0.987665969538744,8432251.33451978
13,4000,1000,0.01,3,random,hdf5,0.985396323361591,8916785.44572089
14,4000,1000,0.01,3,random,hdf5,0.982413177505913,8382820.82129994
15,4000,1000,0.01,3,random,hdf5,0.996050221266018,9839550.03219458
16,4000,1000,0.01,3,random,hdf5,0.995973378066743,8829076.88422051
17,4000,1000,0.01,3,random,hdf5,0.994583700421688,9321923.37552184
18,4000,1000,0.01,3,random,hdf5,0.993301264019761,8441947.82839837
19,4000,1000,0.01,3,random,hdf5,0.98560102177208,8783388.17142941
20,4000,1000,0.01,3,random,hdf5,0.990846468296176,9110931.36141027
1,4000,1000,0.05,3,random,hdf5,0.988456933333663,8273927.42577583
2,4000,1000,0.05,3,random,hdf5,0.993528459349666,8112495.91012805
3,4000,1000,0.05,3,random,hdf5,0.995969190039996,8150749.58755854
4,4000,1000,0.05,3,random,hdf5,0.980081259561621,8281304.28590276
5,4000,1000,0.05,3,random,hdf5,0.985507592882358,8285857.87788637
6,4000,1000,0.05,3,random,hdf5,0.984963336589887,7942677.11720266
7,4000,1000,0.05,3,random,hdf5,0.984661537084107,8180133.46261711
8,4000,1000,0.05,3,random,hdf5,0.991097351315948,8093159.68612303
9,4000,1000,0.05,3,random,hdf5,0.985258263957061,8338223.88708956
10,4000,1000,0.05,3,random,hdf5,0.994290347615739,8335098.24374167
11,4000,1000,0.05,3,random,hdf5,0.987066694774406,8187887.13294932
12,4000,1000,0.05,3,random,hdf5,0.987815755451424,7973783.39974983
13,4000,1000,0.05,3,random,hdf5,0.986042688734795,8307365.13029657
14,4000,1000,0.05,3,random,hdf5,0.990552666586042,7955546.33843768
15,4000,1000,0.05,3,random,hdf5,0.991103603117524,8127141.86683962
16,4000,1000,0.05,3,random,hdf5,0.989716604242977,8434511.38792544
17,4000,1000,0.05,3,random,hdf5,0.986684213509573,8517569.62309488
18,4000,1000,0.05,3,random,hdf5,0.99267720156578,8268139.40630495
19,4000,1000,0.05,3,random,hdf5,0.99364975100855,8305348.42025557
20,4000,1000,0.05,3,random,hdf5,0.989605609781494,8089003.81695563
1,4000,1000,0.1,3,random,hdf5,0.988468553664873,8157574.40642122
2,4000,1000,0.1,3,random,hdf5,0.989406869598311,7999748.52170389
3,4000,1000,0.1,3,random,hdf5,0.994278517470778,7959929.2419877
4,4000,1000,0.1,3,random,hdf5,0.990246652275691,7924229.46495763
5,4000,1000,0.1,3,random,hdf5,0.990821166586471,8074420.7541156
6,4000,1000,0.1,3,random,hdf5,0.989397615149376,8400999.90472085
7,4000,1000,0.1,3,random,hdf5,0.989014999889188,7840646.82368622
8,4000,1000,0.1,3,random,hdf5,0.985069672184954,7972149.44497698
9,4000,1000,0.1,3,random,hdf5,0.993742079602825,7592836.70437915
10,4000,1000,0.1,3,random,hdf5,0.987520490545834,7961865.31758783
11,4000,1000,0.1,3,random,hdf5,0.994487108663612,8068976.68162227
12,4000,1000,0.1,3,random,hdf5,0.994996809957036,8169270.81976238
13,4000,1000,0.1,3,random,hdf5,0.990445313620086,7887273.101081
14,4000,1000,0.1,3,random,hdf5,0.988363667673089,8034269.47307474
15,4000,1000,0.1,3,random,hdf5,0.989420437904168,8092314.81905774
16,4000,1000,0.1,3,random,hdf5,0.990601037754117,8074023.20148185
17,4000,1000,0.1,3,random,hdf5,0.991529296338096,8172177.48533065
18,4000,1000,0.1,3,random,hdf5,0.993538291298191,8113721.50615684
19,4000,1000,0.1,3,random,hdf5,0.996821659612742,8032592.7817729
20,4000,1000,0.1,3,random,hdf5,0.988560657401531,8145088.91769248
1,4000,1000,0.2,3,random,hdf5,0.991729823417452,7727002.52140034
2,4000,1000,0.2,3,random,hdf5,0.986325718287115,7949889.00559895
3,4000,1000,0.2,3,random,hdf5,0.992569689031257,8216620.33953972
4,4000,1000,0.2,3,random,hdf5,0.9851726674879,8265888.34236605
5,4000,1000,0.2,3,random,hdf5,0.996086450528609,8326315.34916842
6,4000,1000,0.2,3,random,hdf5,0.992356218127651,8037743.80666785
7,4000,1000,0.2,3,random,hdf5,0.989517433023483,8140680.04305507
8,4000,1000,0.2,3,random,hdf5,0.992401164528071,7883453.25291412
9,4000,1000,0.2,3,random,hdf5,0.988992341331854,8029316.84601727
10,4000,1000,0.2,3,random,hdf5,0.992663213782683,8074876.03211077
11,4000,1000,0.2,3,random,hdf5,0.990928134979842,8008795.62937584
12,4000,1000,0.2,3,random,hdf5,0.992159035414483,8037087.9248553
13,4000,1000,0.2,3,random,hdf5,0.987824878454106,8181377.80675834
14,4000,1000,0.2,3,random,hdf5,0.989729276889799,8028974.39411874
15,4000,1000,0.2,3,random,hdf5,0.991092967460992,7715281.8886165
16,4000,1000,0.2,3,random,hdf5,0.987379514307593,7991862.59663637
17,4000,1000,0.2,3,random,hdf5,0.99373741418473,7738381.68395306
18,4000,1000,0.2,3,random,hdf5,0.991953460405823,7974426.20603202
19,4000,1000,0.2,3,random,hdf5,0.985983793089973,8285681.10706929
20,4000,1000,0.2,3,random,hdf5,0.99120551012055,7914268.31024699
1,4000,1000,0.35,3,random,hdf5,0.993673551207216,8037680.80669103
2,4000,1000,0.35,3,random,hdf5,0.993438715033611,8043116.00712778
3,4000,1000,0.35,3,random,hdf5,0.989621286232132,8118136.85436158
