B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
7,1.00E+05,1000,0.2,10,random,hdf5,0.70024172,265508093.6,17,NA
8,1.00E+05,1000,0.2,10,random,hdf5,0.678000954,276696296.1,17,NA
9,1.00E+05,1000,0.2,10,random,hdf5,0.677876731,270646419.9,27,NA
10,1.00E+05,1000,0.2,10,random,hdf5,0.596870708,299079965,14,NA
1,1.00E+05,1000,0.2,11,random,hdf5,0.726287877,260958942.8,19,NA
2,1.00E+05,1000,0.2,11,random,hdf5,0.683170328,249027622.6,24,NA
3,1.00E+05,1000,0.2,11,random,hdf5,0.685690085,260942538.8,34,NA
4,1.00E+05,1000,0.2,11,random,hdf5,0.701401236,236115435.6,17,NA
5,1.00E+05,1000,0.2,11,random,hdf5,0.742677439,237621803.9,35,NA
6,1.00E+05,1000,0.2,11,random,hdf5,0.703393818,242500309.1,23,NA
7,1.00E+05,1000,0.2,11,random,hdf5,0.738870392,245655933,15,NA
8,1.00E+05,1000,0.2,11,random,hdf5,0.715781719,248661796.3,18,NA
9,1.00E+05,1000,0.2,11,random,hdf5,0.716441705,248610335.1,21,NA
10,1.00E+05,1000,0.2,11,random,hdf5,0.743907185,238879216.2,14,NA
1,1.00E+05,1000,0.2,12,random,hdf5,0.772866677,231141597.3,29,NA
2,1.00E+05,1000,0.2,12,random,hdf5,0.72438395,242726501.5,38,NA
3,1.00E+05,1000,0.2,12,random,hdf5,0.787841293,213763571.4,37,NA
4,1.00E+05,1000,0.2,12,random,hdf5,0.766894298,219630166,27,NA
5,1.00E+05,1000,0.2,12,random,hdf5,0.785652014,211924218.1,30,NA
6,1.00E+05,1000,0.2,12,random,hdf5,0.772378579,232726448.5,30,NA
7,1.00E+05,1000,0.2,12,random,hdf5,0.696355717,236317347.7,16,NA
8,1.00E+05,1000,0.2,12,random,hdf5,0.722564047,232330635.4,15,NA
9,1.00E+05,1000,0.2,12,random,hdf5,0.688790314,245921275.1,31,NA
10,1.00E+05,1000,0.2,12,random,hdf5,0.766866131,216649601.7,24,NA
1,1.00E+05,1000,0.2,13,random,hdf5,0.755445147,215673880.1,35,NA
2,1.00E+05,1000,0.2,13,random,hdf5,0.769802235,203336657.3,21,NA
3,1.00E+05,1000,0.2,13,random,hdf5,0.797225011,207000409,38,NA
4,1.00E+05,1000,0.2,13,random,hdf5,0.783588904,200703913.1,22,NA
5,1.00E+05,1000,0.2,13,random,hdf5,0.758924853,210919651.2,25,NA
6,1.00E+05,1000,0.2,13,random,hdf5,0.755127944,215802213.2,17,NA
7,1.00E+05,1000,0.2,13,random,hdf5,0.77860834,204065524.2,21,NA
8,1.00E+05,1000,0.2,13,random,hdf5,0.747342411,212947473.1,20,NA
9,1.00E+05,1000,0.2,13,random,hdf5,0.769287473,210372947.4,28,NA
10,1.00E+05,1000,0.2,13,random,hdf5,0.800188707,215632416.2,30,NA
1,1.00E+05,1000,0.2,14,random,hdf5,0.729852043,217733165.8,19,NA
2,1.00E+05,1000,0.2,14,random,hdf5,0.810421784,187558167.3,24,NA
3,1.00E+05,1000,0.2,14,random,hdf5,0.801041862,199870986.1,15,NA
4,1.00E+05,1000,0.2,14,random,hdf5,0.797753925,187815090.2,34,NA
5,1.00E+05,1000,0.2,14,random,hdf5,0.763629368,202490827.7,24,NA
6,1.00E+05,1000,0.2,14,random,hdf5,0.80076938,188568208.7,40,NA
7,1.00E+05,1000,0.2,14,random,hdf5,0.795179456,181786084.2,27,NA
8,1.00E+05,1000,0.2,14,random,hdf5,0.751786694,207102644.2,21,NA
9,1.00E+05,1000,0.2,14,random,hdf5,0.8118646,201868821.4,29,NA
10,1.00E+05,1000,0.2,14,random,hdf5,0.747051124,222293956.2,51,NA
1,1.00E+05,1000,0.2,15,random,hdf5,0.756153413,206584941.9,27,NA
2,1.00E+05,1000,0.2,15,random,hdf5,0.834319571,180194545.2,27,NA
3,1.00E+05,1000,0.2,15,random,hdf5,0.789719815,188731471.6,20,NA
4,1.00E+05,1000,0.2,15,random,hdf5,0.834010148,176408502.6,26,NA
5,1.00E+05,1000,0.2,15,random,hdf5,0.844182214,183922086.5,35,NA
6,1.00E+05,1000,0.2,15,random,hdf5,0.706591554,224659853,21,NA
7,1.00E+05,1000,0.2,15,random,hdf5,0.797328536,190897180.7,30,NA
8,1.00E+05,1000,0.2,15,random,hdf5,0.830309949,182974855.8,26,NA
9,1.00E+05,1000,0.2,15,random,hdf5,0.788954915,180914978.1,22,NA
10,1.00E+05,1000,0.2,15,random,hdf5,0.684490309,211108228.2,21,NA
1,1.00E+05,1000,0.2,16,random,hdf5,0.823282369,171402476.3,15,NA
